category,level,outcome,outcome_level,n,Unnamed: 5
CC390,1,DD13,2717,5,
CC390,1,DD13,3715,5,
CC390,1,DD13,3788,5,
CC390,1,DD13,3768,5,
CC390,1,DD13,3216,5,
CC390,1,DD13,2910,5,
CC390,1,DD13,2042,5,
CC390,1,DD13,2230,5,
CC390,1,DD13,3856,5,
CC390,1,DD13,1750,5,
CC390,1,DD13,3225,5,
CC390,1,DD13,4122,5,
CC390,1,DD13,3146,5,
CC390,1,DD13,2460,5,
CC390,1,DD13,2517,5,
CC390,1,DD13,2265,5,
CC390,1,DD13,3648,5,
CC390,1,DD13,4188,5,
CC390,1,DD13,1740,5,
CC390,1,DD13,2220,5,
CC390,1,DD13,3112,5,
CC390,1,DD13,4320,5,
CC390,1,DD13,3434,5,
CC390,1,DD13,2683,5,
CC390,1,DD13,2480,5,
CC390,1,DD13,2950,5,
CC390,1,DD13,2740,5,
CC390,1,DD13,2250,5,
CC390,1,DD13,3412,5,
CC390,1,DD13,3880,5,
CC390,1,DD13,3416,5,
CC390,1,DD13,3006,5,
CC390,1,DD13,3642,5,
CC390,1,DD13,4464,5,
CC390,1,DD13,3432,5,
CC390,1,DD13,873,5,
CC390,1,DD13,4770,5,
CC390,1,DD13,2349,5,
CC390,1,DD13,2350,5,
CC390,1,DD13,2510,5,
CC390,1,DD13,3366,5,
CC390,1,DD13,3468,5,
CC390,1,DD13,3315,5,
CC390,1,DD13,3806,5,
CC390,1,DD13,2575,5,
CC390,1,DD13,2550,5,
CC390,1,DD13,3808,5,
CC390,1,DD13,3975,5,
CC390,1,DD13,3128,5,
CC390,1,DD13,2411,5,
CC390,1,DD13,3415,5,
CC390,1,DD13,2954,5,
CC390,1,DD13,3075,5,
CC390,1,DD13,4765,5,
CC390,1,DD13,3278,5,
CC390,1,DD13,3376,5,
CC390,1,DD13,4420,5,
CC390,1,DD13,3095,5,
CC390,1,DD13,2800,5,
CC390,1,DD13,4790,5,
CC390,1,DD13,2557,5,
CC390,1,DD13,3554,5,
CC390,1,DD13,3986,5,
CC390,1,DD13,3205,5,
CC390,1,DD13,4176,5,
CC390,1,DD13,4085,5,
CC390,1,DD13,4152,5,
CC390,1,DD13,4036,5,
CC390,1,DD13,4275,5,
CC390,1,DD13,3418,5,
CC390,1,DD13,3165,5,
CC390,1,DD13,1678,5,
CC390,1,DD13,3352,5,
CC390,1,DD13,3348,5,
CC390,1,DD13,5140,5,
CC390,1,DD13,4278,5,
CC390,1,DD13,2099,5,
CC390,1,DD13,3755,5,
CC390,1,DD13,2620,5,
CC390,1,DD13,2283,5,
CC390,1,DD13,3304,5,
CC390,1,DD13,2133,5,
CC390,1,DD13,4185,5,
CC390,1,DD13,2888,5,
CC390,1,DD13,3804,5,
CC390,1,DD13,3638,5,
CC390,1,DD13,3848,5,
CC390,1,DD13,4610,5,
CC390,1,DD13,3802,5,
CC390,1,DD13,3545,5,
CC390,1,DD13,2525,5,
CC390,1,DD13,2030,5,
CC390,1,DD13,4102,5,
CC390,1,DD13,3090,5,
CC390,1,DD13,4568,5,
CC390,1,DD13,3625,5,
CC390,1,DD13,2923,5,
CC390,1,DD13,3958,5,
CC390,1,DD13,3138,5,
CC390,1,DD13,4685,5,
CC390,1,DD13,1954,5,
CC390,1,DD13,3555,5,
CC390,1,DD13,4175,5,
CC390,1,DD13,4134,5,
CC390,1,DD13,1930,5,
CC390,1,DD13,3175,5,
CC390,1,DD13,3164,5,
CC390,1,DD13,3855,5,
CC390,1,DD13,3575,5,
CC390,1,DD13,4820,5,
CC390,1,DD13,3697,5,
CC390,1,DD13,4056,5,
CC390,1,DD13,3105,5,
CC390,1,DD13,1987,5,
CC390,1,DD13,3534,5,
CC390,1,DD13,3162,5,
CC390,1,DD13,2570,5,
CC390,1,DD13,2310,5,
CC390,1,DD13,4700,5,
CC390,1,DD13,2838,5,
CC390,1,DD13,3036,5,
CC390,1,DD13,3236,5,
CC390,1,DD13,4550,5,
CC390,1,DD13,2694,5,
CC390,1,DD13,2045,5,
CC390,1,DD13,3408,5,
CC390,1,DD13,3675,5,
CC390,1,DD13,3626,5,
CC390,1,DD13,3322,5,
CC390,1,DD13,3705,5,
CC390,1,DD13,3186,5,
CC390,1,DD13,2330,5,
CC390,1,DD13,2745,5,
CC390,1,DD13,3515,5,
CC390,1,DD13,3738,5,
CC390,1,DD13,1570,5,
CC390,1,DD13,3318,5,
CC390,1,DD13,2470,5,
CC390,1,DD13,1685,5,
CC390,1,DD13,2290,5,
CC390,1,DD13,3714,5,
CC390,1,DD13,1450,5,
CC390,1,DD13,5084,5,
CC390,1,DD13,500,5,
CC390,1,DD13,5230,5,
CC390,1,DD13,4406,5,
CC390,1,DD13,4434,5,
CC390,1,DD13,3628,5,
CC390,1,DD13,2935,5,
CC390,1,DD13,3888,5,
CC390,1,DD13,4470,5,
CC390,1,DD13,2820,5,
CC390,1,DD13,3008,5,
CC390,1,DD13,3030,5,
CC390,1,DD13,3955,5,
CC390,1,DD13,4004,5,
CC390,1,DD13,2640,5,
CC390,1,DD13,3946,5,
CC390,1,DD13,3020,5,
CC390,1,DD13,2936,5,
CC390,1,DD13,3695,5,
CC390,1,DD13,3314,5,
CC390,1,DD13,4740,5,
CC390,1,DD13,4168,5,
CC390,1,DD13,2308,5,
CC390,1,DD13,3825,5,
CC390,1,DD13,4680,5,
CC390,1,DD13,2530,5,
CC390,1,DD13,3166,5,
CC390,1,DD13,2602,5,
CC390,1,DD13,4195,5,
CC390,1,DD13,2795,5,
CC390,1,DD13,2380,5,
CC390,1,DD13,4005,5,
CC390,1,DD13,3898,5,
CC390,1,DD13,3641,5,
CC390,1,DD13,2928,5,
CC390,1,DD13,4238,5,
CC390,1,DD13,3676,5,
CC390,1,DD13,1381,5,
CC390,1,DD13,1120,5,
CC390,1,DD13,4230,5,
CC390,1,DD13,3212,5,
CC390,1,DD13,4388,5,
CC390,1,DD13,2855,5,
CC390,1,DD13,4444,5,
CC390,1,DD13,3392,5,
CC390,1,DD13,2917,5,
CC390,1,DD13,4006,5,
CC390,1,DD13,4615,5,
CC390,1,DD13,4062,5,
CC390,1,DD13,2415,5,
CC390,1,DD13,3982,5,
CC390,1,DD13,2080,5,
CC390,1,DD13,4205,5,
CC390,1,DD13,2090,5,
CC390,1,DD13,4016,5,
CC390,1,DD13,2577,5,
CC390,1,DD13,3612,5,
CC390,1,DD13,2195,5,
CC390,1,DD13,2605,5,
CC390,1,DD13,2270,5,
CC390,1,DD13,4490,5,
CC390,1,DD13,2725,5,
CC390,1,DD13,4445,5,
CC390,1,DD13,3325,5,
CC390,1,DD13,3185,5,
CC390,1,DD13,3202,5,
CC390,1,DD13,3234,5,
CC390,1,DD13,1565,5,
CC390,1,DD13,2446,5,
CC390,1,DD13,4630,5,
CC390,1,DD13,4405,5,
CC390,1,DD13,3332,5,
CC390,1,DD13,2055,5,
CC390,1,DD13,1110,5,
CC390,1,DD13,4870,5,
CC390,1,DD13,3752,5,
CC390,1,DD13,4094,5,
CC390,1,DD13,3868,5,
CC390,1,DD13,2958,5,
CC390,1,DD13,3536,5,
CC390,1,DD13,5070,5,
CC390,1,DD13,4212,5,
